CategoryName,window_start,window_end,future_start,future_end,CategoryName,cur_mean,cur_sum,cur_std,coverage,volatility_ratio,intra_growth,month,week_of_year,day_of_week,target_up
Storage,2013-06-21,2013-07-18,2013-07-19,2013-08-15,Storage,4.25,119.0,22.083647796503186,0.03571428571428571,5.19615120008282,-0.9999998823529551,7,29,3,0
Storage,2013-06-28,2013-07-25,2013-07-26,2013-08-22,Storage,0.0,0.0,0.0,0.0,0.0,0.0,7,30,3,0
Storage,2013-07-05,2013-08-01,2013-08-02,2013-08-29,Storage,0.0,0.0,0.0,0.0,0.0,0.0,8,31,3,0
Storage,2013-07-12,2013-08-08,2013-08-09,2013-09-05,Storage,0.0,0.0,0.0,0.0,0.0,0.0,8,32,3,0
Storage,2013-07-19,2013-08-15,2013-08-16,2013-09-12,Storage,0.0,0.0,0.0,0.0,0.0,0.0,8,33,3,0
Storage,2013-07-26,2013-08-22,2013-08-23,2013-09-19,Storage,0.0,0.0,0.0,0.0,0.0,0.0,8,34,3,0
Storage,2013-08-02,2013-08-29,2013-08-30,2013-09-26,Storage,0.0,0.0,0.0,0.0,0.0,0.0,8,35,3,0
Storage,2013-08-09,2013-09-05,2013-09-06,2013-10-03,Storage,0.0,0.0,0.0,0.0,0.0,0.0,9,36,3,0
Storage,2013-08-16,2013-09-12,2013-09-13,2013-10-10,Storage,0.0,0.0,0.0,0.0,0.0,0.0,9,37,3,0
Storage,2013-08-23,2013-09-19,2013-09-20,2013-10-17,Storage,0.0,0.0,0.0,0.0,0.0,0.0,9,38,3,0
Storage,2013-08-30,2013-09-26,2013-09-27,2013-10-24,Storage,0.0,0.0,0.0,0.0,0.0,0.0,9,39,3,0
Storage,2013-09-06,2013-10-03,2013-10-04,2013-10-31,Storage,0.0,0.0,0.0,0.0,0.0,0.0,10,40,3,0
Storage,2013-09-13,2013-10-10,2013-10-11,2013-11-07,Storage,0.0,0.0,0.0,0.0,0.0,0.0,10,41,3,0
Storage,2013-09-20,2013-10-17,2013-10-18,2013-11-14,Storage,0.0,0.0,0.0,0.0,0.0,0.0,10,42,3,0
Storage,2013-09-27,2013-10-24,2013-10-25,2013-11-21,Storage,0.0,0.0,0.0,0.0,0.0,0.0,10,43,3,0
Storage,2013-10-04,2013-10-31,2013-11-01,2013-11-28,Storage,0.0,0.0,0.0,0.0,0.0,0.0,10,44,3,0
Storage,2013-10-11,2013-11-07,2013-11-08,2013-12-05,Storage,0.0,0.0,0.0,0.0,0.0,0.0,11,45,3,0
Storage,2013-10-18,2013-11-14,2013-11-15,2013-12-12,Storage,0.0,0.0,0.0,0.0,0.0,0.0,11,46,3,0
Storage,2013-10-25,2013-11-21,2013-11-22,2013-12-19,Storage,0.0,0.0,0.0,0.0,0.0,0.0,11,47,3,0
Storage,2013-11-01,2013-11-28,2013-11-29,2013-12-26,Storage,0.0,0.0,0.0,0.0,0.0,0.0,11,48,3,0
Storage,2013-11-08,2013-12-05,2013-12-06,2014-01-02,Storage,0.0,0.0,0.0,0.0,0.0,0.0,12,49,3,0
