CategoryName,window_start,window_end,future_start,future_end,CategoryName,cur_mean,cur_sum,cur_std,coverage,volatility_ratio,intra_growth,long_mean,long_sum,long_coverage,days_since_last_sale,active_recent_flag,fallback_baseline,month,week_of_year,day_of_week,target_up
Storage,2013-06-21,2013-07-18,2013-07-19,2013-08-15,Storage,4.25,119.0,22.083647796503186,0.03571428571428571,5.19615120008282,-0.9999998823529551,4.25,119.0,0.03571428571428571,27.0,1,119.0,7,29,3,0
Storage,2013-06-28,2013-07-25,2013-07-26,2013-08-22,Storage,0.0,0.0,0.0,0.0,0.0,0.0,3.4,119.0,0.02857142857142857,28.0,0,95.2,7,30,3,0
Storage,2013-07-05,2013-08-01,2013-08-02,2013-08-29,Storage,0.0,0.0,0.0,0.0,0.0,0.0,2.8333333333333335,119.0,0.023809523809523808,28.0,0,79.33333333333334,8,31,3,0
Storage,2013-07-12,2013-08-08,2013-08-09,2013-09-05,Storage,0.0,0.0,0.0,0.0,0.0,0.0,2.4285714285714284,119.0,0.02040816326530612,28.0,0,68.0,8,32,3,0
Storage,2013-07-19,2013-08-15,2013-08-16,2013-09-12,Storage,0.0,0.0,0.0,0.0,0.0,0.0,2.125,119.0,0.017857142857142856,28.0,0,59.5,8,33,3,0
Storage,2013-07-26,2013-08-22,2013-08-23,2013-09-19,Storage,0.0,0.0,0.0,0.0,0.0,0.0,1.8888888888888888,119.0,0.015873015873015872,28.0,0,52.888888888888886,8,34,3,0
Storage,2013-08-02,2013-08-29,2013-08-30,2013-09-26,Storage,0.0,0.0,0.0,0.0,0.0,0.0,1.7,119.0,0.014285714285714285,28.0,0,47.6,8,35,3,0
Storage,2013-08-09,2013-09-05,2013-09-06,2013-10-03,Storage,0.0,0.0,0.0,0.0,0.0,0.0,1.5454545454545454,119.0,0.012987012987012988,28.0,0,43.27272727272727,9,36,3,0
Storage,2013-08-16,2013-09-12,2013-09-13,2013-10-10,Storage,0.0,0.0,0.0,0.0,0.0,0.0,1.4166666666666667,119.0,0.011904761904761904,28.0,0,39.66666666666667,9,37,3,0
Storage,2013-08-23,2013-09-19,2013-09-20,2013-10-17,Storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0,0.0,9,38,3,0
Storage,2013-08-30,2013-09-26,2013-09-27,2013-10-24,Storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0,0.0,9,39,3,0
Storage,2013-09-06,2013-10-03,2013-10-04,2013-10-31,Storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0,0.0,10,40,3,0
Storage,2013-09-13,2013-10-10,2013-10-11,2013-11-07,Storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0,0.0,10,41,3,0
Storage,2013-09-20,2013-10-17,2013-10-18,2013-11-14,Storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0,0.0,10,42,3,0
Storage,2013-09-27,2013-10-24,2013-10-25,2013-11-21,Storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0,0.0,10,43,3,0
Storage,2013-10-04,2013-10-31,2013-11-01,2013-11-28,Storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0,0.0,10,44,3,0
Storage,2013-10-11,2013-11-07,2013-11-08,2013-12-05,Storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0,0.0,11,45,3,0
Storage,2013-10-18,2013-11-14,2013-11-15,2013-12-12,Storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0,0.0,11,46,3,0
Storage,2013-10-25,2013-11-21,2013-11-22,2013-12-19,Storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0,0.0,11,47,3,0
Storage,2013-11-01,2013-11-28,2013-11-29,2013-12-26,Storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0,0.0,11,48,3,0
Storage,2013-11-08,2013-12-05,2013-12-06,2014-01-02,Storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0,0.0,12,49,3,0
Storage,2013-11-15,2013-12-12,2013-12-13,2014-01-09,Storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0,0.0,12,50,3,0
Storage,2013-11-22,2013-12-19,2013-12-20,2014-01-16,Storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0,0.0,12,51,3,0
Storage,2013-11-29,2013-12-26,2013-12-27,2014-01-23,Storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0,0.0,12,52,3,0
Storage,2013-12-06,2014-01-02,2014-01-03,2014-01-30,Storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0,0.0,1,1,3,0
Storage,2013-12-13,2014-01-09,2014-01-10,2014-02-06,Storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0,0.0,1,2,3,0
