CategoryName,ProductName,product_share,product_qty,category_qty,probability_up,growth_signal,category_base_forecast,category_adjusted_forecast,base_reorder_qty,confidence_score,forecast_score
Storage,Samsung MZ-V6P2T0BW,0.289640591965561,137,473,0.8657475375834482,1,120.0,171.94,50,0.8657475375834482,0.5405835463560954
Storage,PNY SSD9SC240GMDA-RB,0.24735729386839883,117,473,0.8657475375834482,1,120.0,171.94,43,0.8657475375834482,0.5229565810998521
Storage,Hitachi HUA723020ALA640,0.20930232558095285,99,473,0.8657475375834482,1,120.0,171.94,36,0.8657475375834482,0.506175281805552
Storage,Corsair Dominator Platinum,0.16490486257893255,78,473,0.8657475375834482,1,120.0,171.94,28,0.8657475375834482,0.48681543990593557
Storage,Crucial CT525MX300SSD1,0.08879492600404061,42,473,0.8657475375834482,1,120.0,171.94,15,0.8657475375834482,0.4545628849797369
Mother Board,ASRock C2750D4I,0.2686868686863259,133,495,0.8613477215910573,1,78.0,111.59,30,0.8613477215910573,0.5079920204560219
Mother Board,ASRock X99 Extreme11,0.1818181818178145,90,495,0.8613477215910573,1,78.0,111.59,20,0.8613477215910573,0.477517846458304
Mother Board,Intel DG43RK,0.15757575757543923,78,495,0.8613477215910573,1,78.0,111.59,18,0.8613477215910573,0.4700492742850258
Mother Board,Asus ROG STRIX X99 GAMING,0.14747474747444955,73,495,0.8613477215910573,1,78.0,111.59,16,0.8613477215910573,0.4654089849400248
Mother Board,Supermicro MBD-X10DAX,0.13535353535326192,67,495,0.8613477215910573,1,78.0,111.59,15,0.8613477215910573,0.46167469885338575
Mother Board,Asus X99-E-10G WS,0.1090909090906887,54,495,0.8613477215910573,1,78.0,111.59,12,0.8613477215910573,0.4524920426136664
CPU,Intel Xeon E5-2695 V3 (OEM/Tray),0.21203438395385096,148,698,0.8247993914117243,1,145.0,204.8,43,0.8247993914117243,0.4954179260310806
CPU,Intel Xeon E5-2683 V4,0.20773638968451613,145,698,0.8247993914117243,1,145.0,204.8,43,0.8247993914117243,0.4945583271772136
CPU,Intel Xeon E5-2643 V3 (OEM/Tray),0.1991404011458465,139,698,0.8247993914117243,1,145.0,204.8,41,0.8247993914117243,0.49021904214467654
CPU,Intel Xeon E5-2660 V4,0.16905444126050279,118,698,0.8247993914117243,1,145.0,204.8,35,0.8247993914117243,0.4763415881931985
CPU,Intel Xeon E5-2650 V3 (OEM/Tray),0.14899713467027365,104,698,0.8247993914117243,1,145.0,204.8,31,0.8247993914117243,0.46708995222554645
CPU,Intel Core i7-5960X (OEM/Tray),0.06303724928357732,44,698,0.8247993914117243,1,145.0,204.8,13,0.8247993914117243,0.4263171892249792
Video Card,Asus ROG-POSEIDON-GTX1080TI-P11G-GAMING,0.593220338981794,280,472,0.4945323198709316,1,326.0,406.61,241,0.4945323198709316,0.6659102264217809
Video Card,ATI FirePro R5000,0.24152542372830185,114,472,0.4945323198709316,1,326.0,406.61,98,0.4945323198709316,0.40823499964765997
Video Card,EVGA 11G-P4-6696-KR,0.0974576271184376,46,472,0.4945323198709316,1,326.0,406.61,40,0.4945323198709316,0.30343890790639694
Video Card,MSI GTX 1080 TI LIGHTNING Z,0.06779661016934789,32,472,0.4945323198709316,1,326.0,406.61,28,0.4945323198709316,0.2817861805677603
RAM,Hynix 1333FSB 4GB DDR3,0.9999999999875,80,80,0.4369846128244522,1,24.88888888888889,24.89,25,0.4369846128244522,0.43552287402094636
