ProductName,demand_pressure,availability_risk,volatility_factor,ops_risk,risk_score,risk_level,risk_drivers
Samsung MZ-V6P2T0BW,0.5702283052947187,0.6676783004552351,0.35195360149556665,0.0,0.5036580323115971,Medium,"High forecasted demand, Low availability proxy"
PNY SSD9SC240GMDA-RB,0.3125190815838238,0.6675126903553299,0.14999234752441917,0.5,0.4230095896835876,Medium,"Low availability proxy, Operational issues"
Hitachi HUA723020ALA640,0.7367676693255791,0.5025125628140703,0.0,0.0,0.4337480812488773,Medium,"High forecasted demand, Low availability proxy"
Corsair Dominator Platinum,1.0,0.9091999520211107,0.3488165740987591,0.3,0.7679832980271406,High,"High forecasted demand, Low availability proxy"
Crucial CT525MX300SSD1,1.0,0.6683937823834196,0.4786568980339706,0.0,0.6796692034409909,Medium,"High forecasted demand, Low availability proxy"
ASRock C2750D4I,0.0,0.50187265917603,0.0,0.0,0.17565543071161047,Low,Low availability proxy
ASRock X99 Extreme11,0.23988888622345686,0.5027624309392265,0.0,0.0,0.25992796100693916,Low,Low availability proxy
Intel DG43RK,0.009864253304395929,0.6676691729323307,0.4122147154899156,0.0,0.31957964228083746,Low,Low availability proxy
Asus ROG STRIX X99 GAMING,0.1998924709688982,0.6678571428571429,0.30089650263257345,0.0,0.36389166536562906,Low,Low availability proxy
Supermicro MBD-X10DAX,0.6655223781265317,0.5037037037037038,0.0,0.0,0.40922912864058236,Medium,"High forecasted demand, Low availability proxy"
Asus X99-E-10G WS,1.0,0.5045871559633027,0.0,0.0,0.5266055045871559,Medium,"High forecasted demand, Low availability proxy"
Intel Xeon E5-2695 V3 (OEM/Tray),0.3837837811906502,0.5016835016835017,0.0,0.0,0.30991354900595314,Low,Low availability proxy
Intel Xeon E5-2683 V4,0.765517234780024,0.667621776504298,0.35053156674204916,0.0,0.5717049672979224,Medium,"High forecasted demand, Low availability proxy"
Intel Xeon E5-2643 V3 (OEM/Tray),0.4733812915584081,0.5017921146953406,0.0,0.0,0.34131069218881205,Low,Low availability proxy
Intel Xeon E5-2660 V4,0.7355932141051423,0.5021097046413502,0.0,0.0,0.43319602156127235,Medium,"High forecasted demand, Low availability proxy"
Intel Xeon E5-2650 V3 (OEM/Tray),0.9692307599112429,0.5023923444976077,0.0,0.0,0.5150680865430977,Medium,"High forecasted demand, Low availability proxy"
Intel Core i7-5960X (OEM/Tray),1.0,0.5056179775280899,0.0,0.0,0.5269662921348315,Medium,"High forecasted demand, Low availability proxy"
Asus ROG-POSEIDON-GTX1080TI-P11G-GAMING,1.0,0.7505407354001442,0.37085821632924787,0.3333333333333333,0.7201942339892333,High,"High forecasted demand, Low availability proxy, Operational issues"
ATI FirePro R5000,1.0,0.6675291073738681,0.15834823671358977,0.0,0.6153048349235717,Medium,"High forecasted demand, Low availability proxy"
EVGA 11G-P4-6696-KR,1.0,0.5053763440860215,0.0,0.0,0.5268817204301075,Medium,"High forecasted demand, Low availability proxy"
MSI GTX 1080 TI LIGHTNING Z,1.0,0.6691449814126393,0.388520209443158,0.5,0.7119047853830553,High,"High forecasted demand, Low availability proxy, Operational issues"
Hynix 1333FSB 4GB DDR3,0.0,0.5031055900621118,0.0,0.0,0.1760869565217391,Low,Low availability proxy
