CategoryName,ProductName,base_reorder_qty,social_trend_score,risk_score,fusion_adjustment,final_recommended_qty,probability_up,growth_signal,category_base_forecast,category_adjusted_forecast,product_share,confidence_score,forecast_score,risk_level,risk_drivers,topic_keyword_text
Video Card,Asus ROG-POSEIDON-GTX1080TI-P11G-GAMING,241,0.0,0.7201942339892333,-0.14403884679784668,206,0.4945323198709316,1,326.0,406.61,0.593220338981794,0.4945323198709316,0.6659102264217809,High,"High forecasted demand, Low availability proxy, Operational issues",
Video Card,ATI FirePro R5000,98,0.0,0.6153048349235717,-0.12306096698471435,86,0.4945323198709316,1,326.0,406.61,0.2415254237283018,0.4945323198709316,0.4082349996476599,Medium,"High forecasted demand, Low availability proxy",
CPU,Intel Xeon E5-2695 V3 (OEM/Tray),43,10.366666666666664,0.3099135490059531,1.0,86,0.8247993914117243,1,145.0,204.8,0.2120343839538509,0.8247993914117243,0.4954179260310806,Low,Low availability proxy,cpu 13 corsair intel rt intel13 z790 300 intel13thgen 12
CPU,Intel Xeon E5-2683 V4,43,10.366666666666664,0.5717049672979224,1.0,86,0.8247993914117243,1,145.0,204.8,0.2077363896845161,0.8247993914117243,0.4945583271772136,Medium,"High forecasted demand, Low availability proxy",cpu 13 corsair intel rt intel13 z790 300 intel13thgen 12
CPU,Intel Xeon E5-2643 V3 (OEM/Tray),41,10.366666666666664,0.341310692188812,1.0,82,0.8247993914117243,1,145.0,204.8,0.1991404011458465,0.8247993914117243,0.4902190421446765,Low,Low availability proxy,cpu 13 corsair intel rt intel13 z790 300 intel13thgen 12
CPU,Intel Xeon E5-2660 V4,35,10.366666666666664,0.4331960215612723,1.0,70,0.8247993914117243,1,145.0,204.8,0.1690544412605027,0.8247993914117243,0.4763415881931985,Medium,"High forecasted demand, Low availability proxy",cpu 13 corsair intel rt intel13 z790 300 intel13thgen 12
CPU,Intel Xeon E5-2650 V3 (OEM/Tray),31,10.366666666666664,0.5150680865430977,1.0,62,0.8247993914117243,1,145.0,204.8,0.1489971346702736,0.8247993914117243,0.4670899522255464,Medium,"High forecasted demand, Low availability proxy",cpu 13 corsair intel rt intel13 z790 300 intel13thgen 12
Storage,Samsung MZ-V6P2T0BW,50,0.0,0.5036580323115971,-0.10073160646231943,45,0.8657475375834482,1,120.0,171.94,0.289640591965561,0.8657475375834482,0.5405835463560954,Medium,"High forecasted demand, Low availability proxy",
Storage,PNY SSD9SC240GMDA-RB,43,0.0,0.4230095896835876,-0.08460191793671752,39,0.8657475375834482,1,120.0,171.94,0.2473572938683988,0.8657475375834482,0.5229565810998521,Medium,"Low availability proxy, Operational issues",
Mother Board,ASRock C2750D4I,30,0.95,0.1756554307116104,0.2498689138576779,37,0.8613477215910573,1,78.0,111.59,0.2686868686863259,0.8613477215910573,0.5079920204560219,Low,Low availability proxy,asus z790 tuf gaming d4 wifi plus intel rog ddr4
Video Card,EVGA 11G-P4-6696-KR,40,0.0,0.5268817204301075,-0.1053763440860215,36,0.4945323198709316,1,326.0,406.61,0.0974576271184376,0.4945323198709316,0.3034389079063969,Medium,"High forecasted demand, Low availability proxy",
Storage,Hitachi HUA723020ALA640,36,0.0,0.4337480812488773,-0.08674961624977547,33,0.8657475375834482,1,120.0,171.94,0.2093023255809528,0.8657475375834482,0.506175281805552,Medium,"High forecasted demand, Low availability proxy",
CPU,Intel Core i7-5960X (OEM/Tray),13,10.366666666666664,0.5269662921348315,1.0,26,0.8247993914117243,1,145.0,204.8,0.0630372492835773,0.8247993914117243,0.4263171892249792,Medium,"High forecasted demand, Low availability proxy",cpu 13 corsair intel rt intel13 z790 300 intel13thgen 12
Mother Board,ASRock X99 Extreme11,20,0.95,0.2599279610069391,0.23301440779861216,25,0.8613477215910573,1,78.0,111.59,0.1818181818178145,0.8613477215910573,0.477517846458304,Low,Low availability proxy,asus z790 tuf gaming d4 wifi plus intel rog ddr4
Storage,Corsair Dominator Platinum,28,0.0,0.7679832980271406,-0.15359665960542812,24,0.8657475375834482,1,120.0,171.94,0.1649048625789325,0.8657475375834482,0.4868154399059355,High,"High forecasted demand, Low availability proxy",
Video Card,MSI GTX 1080 TI LIGHTNING Z,28,0.0,0.7119047853830553,-0.14238095707661108,24,0.4945323198709316,1,326.0,406.61,0.0677966101693478,0.4945323198709316,0.2817861805677603,High,"High forecasted demand, Low availability proxy, Operational issues",
RAM,Hynix 1333FSB 4GB DDR3,25,0.0,0.1760869565217391,-0.035217391304347825,24,0.4369846128244522,1,24.88888888888889,24.89,0.9999999999875,0.4369846128244522,0.4355228740209463,Low,Low availability proxy,
Mother Board,Intel DG43RK,18,0.95,0.3195796422808374,0.22108407154383247,22,0.8613477215910573,1,78.0,111.59,0.1575757575754392,0.8613477215910573,0.4700492742850258,Low,Low availability proxy,asus z790 tuf gaming d4 wifi plus intel rog ddr4
Mother Board,Asus ROG STRIX X99 GAMING,16,0.95,0.363891665365629,0.21222166692687416,19,0.8613477215910573,1,78.0,111.59,0.1474747474744495,0.8613477215910573,0.4654089849400248,Low,Low availability proxy,asus z790 tuf gaming d4 wifi plus intel rog ddr4
Mother Board,Supermicro MBD-X10DAX,15,0.95,0.4092291286405823,0.2031541742718835,18,0.8613477215910573,1,78.0,111.59,0.1353535353532619,0.8613477215910573,0.4616746988533857,Medium,"High forecasted demand, Low availability proxy",asus z790 tuf gaming d4 wifi plus intel rog ddr4
Mother Board,Asus X99-E-10G WS,12,0.95,0.5266055045871559,0.1796788990825688,14,0.8613477215910573,1,78.0,111.59,0.1090909090906887,0.8613477215910573,0.4524920426136664,Medium,"High forecasted demand, Low availability proxy",asus z790 tuf gaming d4 wifi plus intel rog ddr4
Storage,Crucial CT525MX300SSD1,15,0.0,0.6796692034409909,-0.1359338406881982,13,0.8657475375834482,1,120.0,171.94,0.0887949260040406,0.8657475375834482,0.4545628849797369,Medium,"High forecasted demand, Low availability proxy",
